TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,MAXIMUM_CAPACITY,
20260715,ACNPC,01ACNPC_G01,3.2,
20260715,AREI,01AGROSOL_G01,3.4,
20260715,SNAPBENGT,01AMBUK_U01,37.4,
20260715,SNAPBENGT,01AMBUK_U02,37.3,
20260715,SNAPBENGT,01AMBUK_U03,37.3,
20260715,HEDCORBA,01AMPHAW_G01,8,
20260715,ANDA,01ANDA_G01,72,
20260715,AHC,01ANGAT_A,44.6,
20260715,AHC,01ANGAT_M,99.8,
20260715,APEC,01APEC_G01,25,
20260715,GPS3I,01ARAYSOL_G01,50,
20260715,GPS3I,01ARAYSOL_G02,30.8,
20260715,CSPAM1,01ARAYSOL_G03,30,
20260715,RERI,01ARESOL_G01,37.8,
20260715,NVVOGTARM,01ARMSOL_G01,7.1,
20260715,HEDCORBA,01BAKSIP_G01,12.4,
20260715,NR,01BAKUN_G01,74,
20260715,SSAI,01BALSOL_G01,20,
20260715,BWPC,01BALWIND_G01,22.4,
20260715,CSPANG,01BARBASOL_G01,90,
20260715,1590EC,01BAUANG_GS1,70,
20260715,1590EC,01BAUANG_GS2,70,
20260715,1590EC,01BAUANG_GS3,70,
20260715,SSBI,01BETASOL_G01,17.2,
20260715,HEDCORLAT,01BINENG_G01,19.8,
20260715,HEDCOR,01BINENG_G03,4.5,
20260715,SNAPBENGT,01BINGA_U01,35,
20260715,SNAPBENGT,01BINGA_U02,35,
20260715,SNAPBENGT,01BINGA_U03,35,
20260715,SNAPBENGT,01BINGA_U04,35,
20260715,GSEI,01BONGSOL_G01,19.8,
20260715,BOSUNG,01BOSUNG_G01,1,
20260715,BTN2020,01BT2020_G01,11,
20260715,BATA02,01BT2020_G02,25,
20260715,SPARC2,01BTNSOL_G01,4.8,
20260715,BSEI,01BTSOLEN_BAT,.2,
20260715,BSEI,01BTSOLEN_G01,3.7,
20260715,BGEC,01BUGALSOL_G01,18.6,
20260715,3BEC,01BUGSOL_G01,491.1,
20260715,SIAEC,01BULACSOL_G01,17.2,
20260715,BULACNSE,01BULSOL_G01,15,
20260715,EBWPC,01BURGOS_G01,150,
20260715,EDCSL,01BURGOS_G02,3.4,
20260715,EDCSLP2,01BURGOS_G03,2.2,
20260715,MGC,01BUTAO_G01,1.3,
20260715,FCRV,01CABSOL_G01,8.8,
20260715,CBEC,01CAGBIO_G01,13.5,
20260715,NAREDCO,01CAGYSOL_G01,60,
20260715,CALIBU,01CALIBUNK_G01,27.5,
20260715,SUPREMEPC,01CAPAS_G01,11,
20260715,NLREC,01CAPRIS_G01,81,
20260715,AREC,01CAPRIS_G02,45.1,
20260715,PSALM,01CASECN_U01,82.5,
20260715,PSALM,01CASECN_U02,82.5,
20260715,PVSPI,01CAYBSOL_G01,75.1,
20260715,CIP2,01CIP2_G01,20,
20260715,CSCLARK,01CLASOL_G01,19.1,
20260715,CEC,01CLEANG_G01,10.8,
20260715,UPSI,01CNCEP_BAT,50,
20260715,SOLARPHTC,01CONSOL_G01,82.5,
20260715,G4G,01CORDONSOL_G01,52.7,
20260715,NSEC,01CURSOL_G02,68.7,
20260715,NVVOGTDAL,01DALSOL_G01,5.9,
20260715,SSPC,01DOMSOL_G01,46.2,
20260715,UPSI,01GAMU_BAT,40,
20260715,GFII,01GFII_G01,15.8,
20260715,GIFT,01GIFT_G01,12,
20260715,GIFT2,01GIFT_G02,6,
20260715,GIGASOL3,01GIGSOL_G01,50.5,
20260715,GNPD,01GNPD_U01,668,
20260715,GNPD,01GNPD_U02,668,
20260715,G2REC,01GRGOLD_G01,10.8,
20260715,HGEC,01HYPGRN_G01,10,
20260715,IBEC,01IBEC_G01,18,
20260715,HCC,01IBULAO_G01,6,
20260715,IPOWER,01IPOWER_G01,10.8,
20260715,IPOWER,01IPOWER_G02,10.8,
20260715,UPSI,01LAMAO_BAT,50,
20260715,PVSPI,01LAOSOL_G01,130.2,
20260715,ILSRMC,01LASUER_U01,5.1,
20260715,UPSI,01LIMAY_BAT,40,
20260715,PANASIA,01LIMAY_U01,60,
20260715,PANASIA,01LIMAY_U02,60,
20260715,PANASIA,01LIMAY_U03,60,
20260715,PANASIA,01LIMAY_U04,87,
20260715,PANASIA,01LIMAY_U05,60,
20260715,PANASIA,01LIMAY_U06,60,
20260715,PANASIA,01LIMAY_U07,60,
20260715,PANASIA,01LIMAY_U08,90,
20260715,BKSGEC,01LIMSOL_G01,26.9,
20260715,MAEC,01MAEC_G01,16,
20260715,UPSI,01MAGAPIT_BAT,40,
20260715,SNAP,01MAGAT_BAT,40,
20260715,SNAP,01MAGAT_U01,97,
20260715,SNAP,01MAGAT_U02,97,
20260715,SNAP,01MAGAT_U03,97,
20260715,SNAP,01MAGAT_U04,97,
20260715,BENECOGEN,01MANSOK_G01,3.2,
20260715,NIAMARIS,01MARIS_U01,4.3,
20260715,NIAMARIS,01MARIS_U02,4.3,
20260715,NEXTGEN,01MARSOL_G01,17.6,
20260715,GMEC,01MARVEL_G01,316,
20260715,GMEC,01MARVEL_G02,316,
20260715,FGHPC,01MASIWA_G01,12,
20260715,MRDC,01MATUNO_G01,8.7,
20260715,ME1I,01MEGASOL_G01,41.2,
20260715,MPGC,01MPGC_U01,135,
20260715,MPGC,01MPGC_U02,133,
20260715,MPGC,01MPGC_U03,133,
20260715,MPGC,01MPGC_U04,137,
20260715,MPPC,01MSINLO_BAT,30,
20260715,MPPC,01MSINLO_G01,322.7,
20260715,MPPC,01MSINLO_G02,322.7,
20260715,MPPC,01MSINLO_G03,307.2,
20260715,MPPC,01MSINLO_G04,315,
20260715,NIABAL,01NIABAL_G01,6,
20260715,HEDCORHE,01NMHC_G01,3.9,
20260715,HEDCOR,01NMHC_G03,1.2,
20260715,NEC,01NUEVASOL_G01,30.9,
20260715,NORTHWIND,01NWIND_G01,32.4,
20260715,NWPDC,01NWIND_G02,18.8,
20260715,APREC,01OLONGSOL_G01,172.2,
20260715,NREC,01PASBUSOL_G01,61.2,
20260715,ELPISPP,01PASQSOL_G01,92.4,
20260715,PGBREI,01PAVGSOL_G01,16.2,
