RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
8/23/2026,01MARVEL_G01,7/16/2026,9/18/2026,STATUS,OUT,
8/23/2026,03PAGBIL_G01,7/28/2026 12:46:00 AM,8/28/2026 8:02:00 AM,STATUS,OUT,
8/23/2026,03SLTEC_G01,8/1/2026,9/30/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,05CEDC_U01,7/24/2026 12:01:00 AM,9/6/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,10AGUS1_U01,8/21/2026 8:01:00 AM,8/25/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,10AGUS2_U03,8/16/2026 8:01:00 AM,8/31/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,10AGUS6_U02,8/21/2026 9:01:00 AM,8/30/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,10AGUS7_U01,8/23/2026 9:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,10GNPK_U02,7/28/2026 12:01:00 AM,9/20/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,11PULA4_U01,8/23/2026 8:01:00 AM,9/23/2026 2:00:00 PM,STATUS,OUT,
8/23/2026,11PULA4_U02,8/23/2026 8:01:00 AM,8/23/2026 2:00:00 PM,STATUS,OUT,
8/23/2026,11PULA4_U03,8/23/2026 8:01:00 AM,8/23/2026 2:00:00 PM,STATUS,OUT,
8/23/2026,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,11STEAG_U02,8/7/2026 12:01:00 AM,9/30/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,11VILLA_BAT,8/26/2026 8:00:00 AM,9/28/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,12LKMAINIT_G01,8/24/2026 12:01:00 AM,8/30/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,13DCPP_U01,8/26/2026 12:01:00 AM,9/19/2026 11:59:00 PM,STATUS,OUT,
8/23/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,6/30/2027 11:59:00 PM,STATUS,OUT,
EOF
